uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
soup-tomatoes-and-vermicelli-prepacked-to-be-reheated_25933,25933,"Soup, tomatoes and vermicelli, prepacked, to be reheated","Soup, tomatoes and vermicelli, prepacked, to be reheated",prepacked,starters and dishes,soups,,37.7,35.1,0,1.1,5.87,0.8,3.43,1.3,0.77,0,,protein_low;carb_moderate;fat_low
soup-cereals-and-vegetables-dehydrated-and-reconstituted_25934,25934,"Soup, cereals and vegetables, dehydrated and reconstituted","Soup, cereals and vegetables, dehydrated and reconstituted",,starters and dishes,soups,,47.8,45.4,0,1.4,6.8,1.4,1.2,1.2,0.78,0,90,protein_low;carb_moderate;fat_low
soup-tomatoes-dehydrated-and-reconstituted_25935,25935,"Soup, tomatoes, dehydrated and reconstituted","Soup, tomatoes, dehydrated and reconstituted",,starters and dishes,soups,,36.2,34.9,0,0.76,5.79,0.97,2.44,0.64,0.69,0,90.4,protein_low;carb_moderate;fat_low
soup-mushrooms-dehydrated-and-reconstituted_25936,25936,"Soup, mushrooms, dehydrated and reconstituted","Soup, mushrooms, dehydrated and reconstituted",,starters and dishes,soups,,37.8,36.2,0,0.65,4.37,1.79,0.63,0.82,0.79,0,91.3,protein_low;carb_low;fat_low
soup-onions-dehydrated-and-reconstituted_25942,25942,"Soup, onions, dehydrated and reconstituted","Soup, onions, dehydrated and reconstituted",,starters and dishes,soups,,24,23.4,0,0.58,4.37,0.4,1.3,0.31,0.79,0,94.1,protein_low;carb_low;fat_low
soup-pumpkin-prepacked-to-be-reheated_25945,25945,"Soup, pumpkin, prepacked, to be reheated","Soup, pumpkin, prepacked, to be reheated",prepacked,starters and dishes,soups,,35.9,33.2,0,0.67,4.13,1.56,2.37,1.31,0.65,0,91.8,protein_low;carb_low;fat_low
broth-stock-or-bouillon-poultry-dehydrated-and-reconstituted_25947,25947,"Broth, stock or bouillon, poultry, dehydrated and reconstituted","Broth, stock or bouillon, poultry, dehydrated and reconstituted",,starters and dishes,soups,,5.58,5.6,0,0.6,0.5,0.13,0.18,0,0.78,0,97.4,protein_low;carb_low;fat_low
broth-stock-or-bouillon-vegetables-dehydrated-and-reconstituted_25948,25948,"Broth, stock or bouillon, vegetables, dehydrated and reconstituted","Broth, stock or bouillon, vegetables, dehydrated and reconstituted",,starters and dishes,soups,,5.38,5.4,0,0.34,0.65,0.16,0.19,0,0.61,0,98,protein_low;carb_low;fat_low
soup-tomato-and-vermicelli-dehydrated-and-reconstituted_25949,25949,"Soup, tomato and vermicelli, dehydrated and reconstituted","Soup, tomato and vermicelli, dehydrated and reconstituted",,starters and dishes,soups,,21.6,21,0,0.63,4.21,0.18,0.72,0.32,0.68,0,92.2,protein_low;carb_low;fat_low
soup-chicken-and-vermicelli-dehydrated-and-reconstituted_25950,25950,"Soup, chicken and vermicelli, dehydrated and reconstituted","Soup, chicken and vermicelli, dehydrated and reconstituted",,starters and dishes,soups,,21.3,20.7,0,0.75,3.87,0.25,0.31,0.26,0.68,0,94.2,protein_low;carb_low;fat_low
soup-pistou-basil-garlic-and-olive-oil-prepacked-to-be-reheated_25953,25953,"Soup, pistou (basil, garlic and olive oil), prepacked, to be reheated","Soup, pistou, prepacked, to be reheated",basil;garlic_and_olive_oil;prepacked,starters and dishes,soups,,31.9,28.9,0,2,4.1,0.5,0.05,1.5,0.65,0,,protein_low;carb_low;fat_low
soup-pumpkin-dehydrated-and-reconstituted_25954,25954,"Soup, pumpkin, dehydrated and reconstituted","Soup, pumpkin, dehydrated and reconstituted",,starters and dishes,soups,,38.3,36.8,0,0.79,5.61,1.24,2.64,0.76,0.7,0,,protein_low;carb_moderate;fat_low
soup-asian-style-with-noodles-prepacked-to-be-reheated_25955,25955,"Soup, Asian-style with noodles, prepacked, to be reheated","Soup, Asian-style with noodles, prepacked, to be reheated",style:asian;with_noodles;prepacked,starters and dishes,soups,,22.3,20.9,0,0.7,3.4,0.5,0.5,0.7,0.9,0,,protein_low;carb_low;fat_low
soup-minestrone-dehydrated-and-reconstituted_25956,25956,"Soup, minestrone, dehydrated and reconstituted","Soup, minestrone, dehydrated and reconstituted",,starters and dishes,soups,,31.3,29.7,0,1.14,5.53,0.34,1.07,0.79,0.7,0,91.3,protein_low;carb_moderate;fat_low
soup-watercress-dehydrated-and-reconstituted_25957,25957,"Soup, watercress, dehydrated and reconstituted","Soup, watercress, dehydrated and reconstituted",,starters and dishes,soups,,25.1,24.7,0,0.42,3.95,0.8,0.31,0.19,0.77,0,,protein_low;carb_low;fat_low
soup-watercress-prepacked-to-be-reheated_25958,25958,"Soup, watercress, prepacked, to be reheated","Soup, watercress, prepacked, to be reheated",prepacked,starters and dishes,soups,,34,32.8,0,1,5.4,0.8,0.9,0.6,0.78,0,,protein_low;carb_moderate;fat_low
soup-vegetables-with-cheese-prepacked-to-be-reheated_25962,25962,"Soup, vegetables with cheese, prepacked, to be reheated","Soup, vegetables with cheese, prepacked, to be reheated",with_cheese;prepacked,starters and dishes,soups,,50.2,48.3,0,1.34,5.09,2.51,1.62,0.93,0.67,0,,protein_low;carb_moderate;fat_low
soup-green-vegetables-prepacked-to-be-reheated_25963,25963,"Soup, green vegetables, prepacked, to be reheated","Soup, green vegetables, prepacked, to be reheated",prepacked,starters and dishes,soups,,33.4,31.2,0,1,3.84,1.32,0.81,1.05,0.7,0,90.9,protein_low;carb_low;fat_low
soup-green-vegetables-dehydrated-and-reconstituted_25964,25964,"Soup, green vegetables, dehydrated and reconstituted","Soup, green vegetables, dehydrated and reconstituted",,starters and dishes,soups,,34.8,33.8,0,0.72,5.31,1.07,1.07,0.54,0.66,0,91.8,protein_low;carb_moderate;fat_low
soup-split-peas-prepacked-to-be-reheated_25965,25965,"Soup, split peas, prepacked, to be reheated","Soup, split peas, prepacked, to be reheated",prepacked,starters and dishes,soups,,56.7,53.5,0,2.68,6.25,1.98,1.02,1.6,0.7,0,,protein_low;carb_moderate;fat_low
soup-gazpacho-cold-prepacked_25967,25967,"Soup, gazpacho, cold, prepacked","Soup, gazpacho, cold",prepacked,starters and dishes,soups,,32.8,30.7,0,0.65,3.38,1.62,2.32,1.04,0.75,0,91.1,protein_low;carb_low;fat_low
soup-asparagus-prepacked-to-be-reheated_25968,25968,"Soup, asparagus, prepacked, to be reheated","Soup, asparagus, prepacked, to be reheated",prepacked,starters and dishes,soups,,133,130.8,0,4.6,4.7,10.4,2.9,1,0.98,0,,carb_low;fat_high
soup-average_25969,25969,Soup (average),Soup,note:average,starters and dishes,soups,,37.4,35.4,0,1.27,4.5,1.37,1.6,1.02,0.75,0,90.7,protein_low;carb_low;fat_low
