food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_butter_light_39_41_fat_unsalted,butter_light_39_41_fat_unsalted,"Butter, light, 39-41% fat, unsalted","Butter, light, 39-41 fat",semi_atomic,fats and oils,butters,391.0,0.3,3.6,41.7,,,,0.0,1.26,0.45,54.1,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-light-39-41-fat-unsalted_16415,"Butter, light, 39-41% fat, unsalted",16415,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_oil_or_concentrated_butter,butter_oil_or_concentrated_butter,Butter oil or concentrated butter,Butter oil or concentrated butter,semi_atomic,fats and oils,butters,900.2,0.28,0.0,99.9,,,,0.0,0.0,0.005,1.5,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-oil-or-concentrated-butter_16401,Butter oil or concentrated butter,16401,,True,True,normalized_from_source_name,accepted_core,1,
food_button_mushroom_or_cultivated_mushroom_boiled_cooked_in_water,button_mushroom_or_cultivated_mushroom_boiled_cooked_in_water,"Button mushroom or cultivated mushroom, boiled/cooked in water",Button mushroom or cultivated mushroom,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,28.7,2.17,3.0,0.47,"vegetables, cooked",cooked,,2.2,2.34,0.005,91.1,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,button-mushroom-or-cultivated-mushroom-boiled-cooked-in-water_20102,"Button mushroom or cultivated mushroom, boiled/cooked in water",20102,,True,True,normalized_from_source_name,accepted_core,1,
food_button_mushroom_or_cultivated_mushroom_canned_drained,button_mushroom_or_cultivated_mushroom_canned_drained,"Button mushroom or cultivated mushroom, canned, drained",Button mushroom or cultivated mushroom,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,19.4,2.23,0.7,0.37,"vegetables, cooked",,canned;drained,2.5,0.0,0.63,92.9,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,button-mushroom-or-cultivated-mushroom-canned-drained_20079,"Button mushroom or cultivated mushroom, canned, drained",20079,canned,True,True,normalized_from_source_name,accepted_core,1,
food_button_mushroom_or_cultivated_mushroom_frozen_raw,button_mushroom_or_cultivated_mushroom_frozen_raw,"Button mushroom or cultivated mushroom, frozen, raw",Button mushroom or cultivated mushroom,atomic,"fruits, vegetables, legumes and nuts",vegetables,15.9,1.8,0.83,0.25,"vegetables, raw",raw,frozen,1.97,0.25,0.02,93.2,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,button-mushroom-or-cultivated-mushroom-frozen-raw_20228,"Button mushroom or cultivated mushroom, frozen, raw",20228,frozen,True,True,normalized_from_source_name,accepted_core,1,
food_button_mushroom_or_cultivated_mushroom_raw,button_mushroom_or_cultivated_mushroom_raw,"Button mushroom or cultivated mushroom, raw",Button mushroom or cultivated mushroom,atomic,"fruits, vegetables, legumes and nuts",vegetables,28.0,2.62,3.15,0.36,"vegetables, raw",raw,,1.0,2.5,0.098,93.9,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,button-mushroom-or-cultivated-mushroom-raw_20056,"Button mushroom or cultivated mushroom, raw",20056,,True,True,normalized_from_source_name,accepted_core,1,
food_button_mushroom_or_cultivated_mushroom_sauteed_pan_fried_without_fat,button_mushroom_or_cultivated_mushroom_sauteed_pan_fried_without_fat,"Button mushroom or cultivated mushroom, sautéed/pan-fried, without fat","Button mushroom or cultivated mushroom, sauteed / pan-fried",atomic,"fruits, vegetables, legumes and nuts",vegetables,38.4,4.44,4.53,0.6,"vegetables, cooked",fried,,0.9,,0.028,88.4,0.0,carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,button-mushroom-or-cultivated-mushroom-sauteed-pan-fried-without-fat_20125,"Button mushroom or cultivated mushroom, sautéed/pan-fried, without fat",20125,without_fat,True,True,normalized_from_source_name,accepted_core,1,
food_caesar_s_mushroom_or_royal_agaric_raw,caesar_s_mushroom_or_royal_agaric_raw,"Caesar's mushroom or royal agaric, raw",Caesar's mushroom or royal agaric,atomic,"fruits, vegetables, legumes and nuts",vegetables,23.2,2.0,2.45,0.3,"vegetables, raw",raw,,1.7,1.0,0.013,92.9,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,caesar-s-mushroom-or-royal-agaric-raw_20159,"Caesar's mushroom or royal agaric, raw",20159,,True,True,normalized_from_source_name,accepted_core,1,
food_cancoillotte_processed_cheese_from_cow_s_milk,cancoillotte_processed_cheese_from_cow_s_milk,"Cancoillotte, processed cheese, from cow's milk","Cancoillotte, from cow's milk",semi_atomic,milk and milk products,cheese and similar,151.0,13.8,0.5,10.5,processed cheeses,,,0.0,,1.73,72.5,0.0,protein_high;carb_low;fat_high,True,False,False,False,True,,,,dairy_light,,,cancoillotte-processed-cheese-from-cow-s-milk_12325,"Cancoillotte (processed cheese), from cow's milk",12325,processed_cheese,True,True,normalized_from_source_name,accepted_core,1,
food_cane_molasses,cane_molasses,Cane molasses,Cane molasses,semi_atomic,sugar and confectionery,sugars and honey,299.7,0.0,74.7,0.1,,,,0.0,74.7,0.093,,0.0,protein_low;carb_high;fat_low,False,False,False,True,False,,,,,,,cane-molasses_31067,Cane molasses,31067,,True,True,normalized_from_source_name,accepted_core,1,
food_capers_pickled_in_vinegar,capers_pickled_in_vinegar,"Capers, pickled in vinegar","Capers, pickled in vinegar",semi_atomic,miscellaneous,condiments,30.5,2.18,3.5,0.86,,,,3.6,0.41,4.06,83.9,0.0,protein_low;carb_low;fat_low,False,False,False,False,True,,,,,,,capers-pickled-in-vinegar_11040,"Capers, pickled in vinegar",11040,,True,True,normalized_from_source_name,accepted_core,1,
